ID zákazníka,Segment,Priorita,Skóre konverze,Byl MAIN,Výzva 1 (kód),Výzva 1,Výzva 1 - důvod,Výzva 2 (kód),Výzva 2,Výzva 2 - důvod,Výzva 3 (kód),Výzva 3,Výzva 3 - důvod,Příjem splněn (podíl),Transakce splněny (podíl),Avg příjem (Kč),Avg transakce,Avg SPB login,Avg DC platby,Avg zůstatek (Kč),Věk,Pohlaví,Zákazník od roku,Datum spuštění
7137,SECONDARY,LOW,5.0,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 694,608 Kč; nemá investiční produkt",C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",0.0,0.0,0.0,0.0,0.0,0.0,694608.0,59,F,2021,2026-06-15
5149,SECONDARY,LOW,22.4,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 167 Kč/měs., chybí 14,833 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 511,703 Kč; nemá investiční produkt",0.0,1.0,167.0,11.3,0.0,11.3,511703.0,60,F,2025,2026-06-15
9040,SECONDARY,LOW,3.1,False,C1,Přijmout 15 000 Kč na účet,"příjem 1,333 Kč/měs., chybí 13,667 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,1333.0,0.0,0.0,0.0,0.0,54,F,2016,2026-06-15
1209,SECONDARY,LOW,1.0,False,C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,0.0,0.0,1.3,0.0,2125.0,39,M,2017,2026-06-15
1486,SECONDARY,HIGH,60.4,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C5,Vložit 10 000 Kč do investic,"zůstatek 506,204 Kč; nemá investiční produkt",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.33,1.0,5940.0,13.3,9.0,13.0,506204.0,84,F,2019,2026-06-15
5882,SECONDARY,HIGH,56.2,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 6,670 Kč/měs., chybí 8,330 Kč",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 36 — typický uživatel streamingu; aktivní kartou — přechod snadný,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,1.0,6670.0,26.3,29.3,11.3,3814.0,36,F,2025,2026-06-15
7677,SECONDARY,LOW,2.6,False,C1,Přijmout 15 000 Kč na účet,"příjem 133 Kč/měs., chybí 14,867 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,133.0,0.0,3.0,0.0,0.0,46,F,2016,2026-06-15
1092,SECONDARY,HIGH,57.3,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 4,417 Kč/měs., chybí 10,583 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 35 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.0,1.0,4417.0,32.3,16.0,30.0,34868.0,35,M,2015,2026-06-15
2303,SECONDARY,LOW,19.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 939 Kč/měs., chybí 14,061 Kč",C2,Zaplatit 10x kartou za měsíc,8 plateb — blízko cíle,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 31 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.0,1.0,939.0,9.0,5.3,7.7,-2008.0,31,M,2025,2026-06-15
3773,SECONDARY,LOW,18.7,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 3,433 Kč/měs., chybí 11,567 Kč",C2,Zaplatit 10x kartou za měsíc,4 plateb kartou,C5,Vložit 10 000 Kč do investic,věk 29 let; nemá investiční produkt,0.0,1.0,3433.0,6.7,2.5,4.3,9619.0,29,F,2022,2026-06-15
8704,SECONDARY,MEDIUM,48.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 6,000 Kč/měs., chybí 9,000 Kč",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 23 — typický uživatel streamingu; aktivní kartou — přechod snadný,C5,Vložit 10 000 Kč do investic,věk 23 let; nemá investiční produkt,0.0,1.0,6000.0,31.0,5.3,29.3,7461.0,23,M,2022,2026-06-15
1223,SECONDARY,MEDIUM,27.5,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 0 Kč/měs., chybí 15,000 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.0,1.0,0.0,13.0,4.0,13.0,547035.0,65,F,2022,2026-06-15
6356,SECONDARY,MEDIUM,48.0,False,C2,Zaplatit 10x kartou za měsíc,2 plateb kartou; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 39 — typický uživatel streamingu; předplatné zatím není přes banku,0.17,0.33,41669.0,3.0,5.3,2.0,40119.0,39,F,2022,2026-06-15
5724,SECONDARY,LOW,3.2,False,C1,Přijmout 15 000 Kč na účet,"příjem 600 Kč/měs., chybí 14,400 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 27 — typický uživatel streamingu; předplatné zatím není přes banku,0.0,0.0,600.0,1.0,1.0,0.0,-291.0,27,F,2024,2026-06-15
5790,SECONDARY,LOW,11.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 0 Kč/měs., chybí 15,000 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 178,604 Kč; nemá investiční produkt",0.0,0.5,0.0,4.0,0.0,4.0,178604.0,73,M,2016,2026-06-15
8323,SECONDARY,LOW,21.9,False,C1,Přijmout 15 000 Kč na účet,"příjem 9,400 Kč/měs., chybí 5,600 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,0.0,0.0,9400.0,0.0,0.0,0.0,5171.0,42,F,2022,2026-06-15
6131,SECONDARY,LOW,1.6,False,C1,Přijmout 15 000 Kč na účet,"příjem 200 Kč/měs., chybí 14,800 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 29 — typický uživatel streamingu; předplatné zatím není přes banku,0.0,0.33,200.0,0.3,1.0,0.0,-1529.0,29,M,2025,2026-06-15
643,SECONDARY,LOW,12.5,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 0 Kč/měs., chybí 15,000 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.5,0.0,3.0,6.0,0.0,458426.0,76,M,2021,2026-06-15
9491,SECONDARY,LOW,5.0,False,C5,Vložit 10 000 Kč do investic,"zůstatek 497,741 Kč; věk 37 let",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",0.0,0.0,0.0,0.0,0.0,0.0,497741.0,37,F,2024,2026-06-15
2860,SECONDARY,LOW,7.3,False,C1,Přijmout 15 000 Kč na účet,"příjem 3,150 Kč/měs., chybí 11,850 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,3150.0,0.0,0.0,0.0,3387.0,49,M,2022,2026-06-15
5577,SECONDARY,HIGH,67.8,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 36 — typický uživatel streamingu; aktivní kartou — přechod snadný,C5,Vložit 10 000 Kč do investic,věk 36 let; nemá investiční produkt,0.17,1.0,38454.0,14.3,10.3,11.3,40587.0,36,M,2022,2026-06-15
5237,SECONDARY,MEDIUM,28.7,False,C1,Přijmout 15 000 Kč na účet,"příjem 7,000 Kč/měs., chybí 8,000 Kč",C2,Zaplatit 10x kartou za měsíc,1 plateb kartou; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.17,0.17,7000.0,1.3,14.0,1.0,4392.0,38,F,2024,2026-06-15
7055,SECONDARY,HIGH,71.7,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 2,456,351 Kč; nemá investiční produkt",0.5,1.0,6727.0,26.7,8.0,25.0,2456351.0,68,F,2023,2026-06-15
8535,SECONDARY,MEDIUM,39.5,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 867 Kč/měs., chybí 14,133 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 411,481 Kč; nemá investiční produkt",0.0,1.0,867.0,13.3,16.7,13.3,411481.0,49,F,2024,2026-06-15
6635,SECONDARY,LOW,19.1,False,C1,Přijmout 15 000 Kč na účet,"příjem 6,567 Kč/měs., chybí 8,433 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,0.0,6567.0,2.0,2.3,0.0,-235.0,33,M,2024,2026-06-15
8062,SECONDARY,HIGH,71.7,True,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C5,Vložit 10 000 Kč do investic,nemá investiční produkt,0.67,1.0,24333.0,11.7,13.3,0.0,1769.0,47,F,2024,2026-06-15
9738,SECONDARY,HIGH,93.5,True,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 41 — typický uživatel streamingu; aktivní kartou — přechod snadný,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C5,Vložit 10 000 Kč do investic,věk 41 let; nemá investiční produkt,0.5,1.0,18317.0,57.0,18.0,50.0,967.0,41,M,2025,2026-06-15
2675,SECONDARY,LOW,17.6,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 890 Kč/měs., chybí 14,110 Kč",C2,Zaplatit 10x kartou za měsíc,7 plateb — blízko cíle,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,0.33,890.0,6.7,7.3,6.7,1419.0,46,M,2026,2026-06-15
8799,SECONDARY,MEDIUM,48.5,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C2,Zaplatit 10x kartou za měsíc,9 plateb — blízko cíle; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.33,1.0,6827.0,9.7,4.3,9.3,4118.0,57,M,2021,2026-06-15
5693,SECONDARY,HIGH,73.0,True,C5,Vložit 10 000 Kč do investic,"zůstatek 511,654 Kč; věk 40 let",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 40 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.17,1.0,16667.0,12.0,0.0,12.0,511654.0,40,M,2023,2026-06-15
6447,SECONDARY,HIGH,76.4,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 44 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.17,1.0,10469.0,11.7,26.7,10.7,42228.0,44,M,2025,2026-06-15
8708,SECONDARY,HIGH,74.8,True,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 274,635 Kč; nemá investiční produkt",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.83,1.0,29068.0,13.7,0.0,12.3,274635.0,67,M,2022,2026-06-15
8727,SECONDARY,LOW,9.4,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C1,Přijmout 15 000 Kč na účet,"příjem 2,667 Kč/měs., chybí 12,333 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,2667.0,0.7,3.3,0.0,6958.0,45,M,2025,2026-06-15
2369,SECONDARY,LOW,0.7,False,C1,Přijmout 15 000 Kč na účet,"příjem 304 Kč/měs., chybí 14,696 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,304.0,0.0,0.0,0.0,3372.0,81,F,2022,2026-06-15
1410,SECONDARY,MEDIUM,41.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 12,933 Kč/měs., chybí 2,067 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,0.17,0.67,12933.0,3.3,3.3,0.0,13916.0,51,M,2021,2026-06-15
4838,SECONDARY,HIGH,59.6,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; energie/telco zatím není přes banku,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 21 — typický uživatel streamingu; aktivní kartou — přechod snadný,C5,Vložit 10 000 Kč do investic,věk 21 let; nemá investiční produkt,0.17,0.5,33357.0,10.7,5.0,10.3,32750.0,21,M,2025,2026-06-15
4698,SECONDARY,LOW,1.6,False,C1,Přijmout 15 000 Kč na účet,"příjem 667 Kč/měs., chybí 14,333 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 21 — typický uživatel streamingu; předplatné zatím není přes banku,0.0,0.0,667.0,0.0,0.0,0.0,2344.0,21,F,2024,2026-06-15
4564,SECONDARY,LOW,21.7,False,C5,Vložit 10 000 Kč do investic,"zůstatek 240,268 Kč; nemá investiční produkt",C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.17,0.0,1.7,28.0,0.0,240268.0,74,F,2015,2026-06-15
6656,SECONDARY,LOW,17.1,False,C1,Přijmout 15 000 Kč na účet,"příjem 7,313 Kč/měs., chybí 7,687 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,0.0,7313.0,0.0,0.0,0.0,285.0,47,F,2016,2026-06-15
8042,SECONDARY,HIGH,76.5,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 300,034 Kč; nemá investiční produkt",0.5,1.0,9609.0,18.0,10.3,16.7,300034.0,52,F,2023,2026-06-15
3928,SECONDARY,LOW,5.8,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,0.0,0.0,1.0,0.0,16643.0,42,F,2022,2026-06-15
7419,SECONDARY,HIGH,58.3,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 6,247 Kč/měs., chybí 8,753 Kč",C5,Vložit 10 000 Kč do investic,věk 19 let; nemá investiční produkt,C3,Nastavit trvalý příkaz na energie nebo telco,energie/telco zatím není přes banku,0.0,1.0,6247.0,38.3,18.3,24.7,-2037.0,19,M,2025,2026-06-15
6254,SECONDARY,MEDIUM,31.3,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 5,960 Kč/měs., chybí 9,040 Kč",C5,Vložit 10 000 Kč do investic,"zůstatek 171,295 Kč; věk 40 let",C2,Zaplatit 10x kartou za měsíc,4 plateb kartou; má příjem — může platit kartou,0.17,0.5,5960.0,6.7,5.0,4.0,171295.0,40,F,2022,2026-06-15
4950,SECONDARY,HIGH,93.5,True,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 344,135 Kč; nemá investiční produkt",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.5,1.0,53932.0,18.3,16.7,15.3,344135.0,78,F,2023,2026-06-15
462,SECONDARY,HIGH,98.5,True,C5,Vložit 10 000 Kč do investic,"zůstatek 149,926 Kč; věk 31 let",,,,,,,0.67,1.0,39188.0,68.7,18.0,46.0,149926.0,31,M,2019,2026-06-15
2577,SECONDARY,MEDIUM,30.5,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 1,873 Kč/měs., chybí 13,127 Kč",C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.0,0.83,1873.0,12.7,10.0,12.0,273.0,47,F,2025,2026-06-15
488,SECONDARY,MEDIUM,40.8,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C5,Vložit 10 000 Kč do investic,"zůstatek 504,584 Kč; nemá investiční produkt",0.17,1.0,1000.0,10.0,4.7,10.0,504584.0,49,F,2025,2026-06-15
1983,SECONDARY,MEDIUM,47.5,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 8,991 Kč/měs., chybí 6,009 Kč",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 28 — typický uživatel streamingu; aktivní kartou — přechod snadný,C5,Vložit 10 000 Kč do investic,věk 28 let; nemá investiční produkt,0.0,0.17,8991.0,13.5,10.0,11.0,3076.0,28,F,2026,2026-06-15
9399,SECONDARY,MEDIUM,35.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 0 Kč/měs., chybí 15,000 Kč",C5,Vložit 10 000 Kč do investic,"zůstatek 564,899 Kč; nemá investiční produkt",C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",aktivní kartou — přechod snadný; předplatné zatím není přes banku,0.0,1.0,0.0,20.3,0.0,20.3,564899.0,75,M,2022,2026-06-15
5559,SECONDARY,HIGH,64.8,True,C1,Přijmout 15 000 Kč na účet,"dříve byl MAIN; transakce OK, chybí jen příjem",C2,Zaplatit 10x kartou za měsíc,1 plateb kartou; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,0.17,1.0,10149.0,17.3,4.3,1.0,233757.0,70,F,2016,2026-06-15
9273,SECONDARY,HIGH,67.5,True,C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá; má příjem — může platit kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 43 — typický uživatel streamingu; předplatné zatím není přes banku,0.5,1.0,16538.0,15.0,3.3,0.0,1417.0,43,M,2016,2026-06-15
7747,SECONDARY,LOW,5.0,False,C3,Nastavit trvalý příkaz na energie nebo telco,má prostředky pro domácí výdaje; pravděpodobně platí domácnost,C1,Přijmout 15 000 Kč na účet,"příjem 0 Kč/měs., chybí 15,000 Kč",C2,Zaplatit 10x kartou za měsíc,kartu nepoužívá,0.0,0.0,0.0,0.0,0.0,0.0,11968.0,72,F,2008,2026-06-15
4821,SECONDARY,LOW,16.0,False,C1,Přijmout 15 000 Kč na účet,"transakce OK, chybí jen příjem; příjem 650 Kč/měs., chybí 14,350 Kč",C2,Zaplatit 10x kartou za měsíc,7 plateb — blízko cíle,C4,"Nastavit platbu za předplatné (Netflix, Spotify…)",věk 27 — typický uživatel streamingu; aktivní kartou — přechod snadný,0.0,0.33,650.0,7.0,5.3,7.0,60.0,27,F,2026,2026-06-15
3768,SECONDARY,MEDIUM,25.9,False,C1,Přijmout 15 000 Kč na účet,"příjem 3,583 Kč/měs., chybí 11,417 Kč",C2,Zaplatit 10x kartou za měsíc,2 plateb kartou,C3,Nastavit trvalý příkaz na energie nebo telco,pravděpodobně platí domácnost; energie/telco zatím není přes banku,0.0,0.33,3583.0,2.0,19.3,2.0,22.0,54,F,2016,2026-06-15
